(S) Susceptiveis, (E) Expostos, (I) Infectados, (R) Recuperados, (D_E) Expostos detectados, (D_I) Infectados detectados, (M) Mortes
1146575,28,74,1365383,0,0,8
1147934,28,74,1364024,0,0,8
1149293,28,73,1362667,0,0,8
1150649,27,73,1361311,0,0,8
1152005,27,72,1359956,0,0,8
1153359,27,72,1358602,0,0,8
1154712,27,71,1357250,0,0,8
1156063,27,70,1355899,0,0,8
1157413,27,70,1354550,0,0,8
1158762,26,70,1353202,0,0,8
1160110,26,69,1351855,0,0,8
1161456,26,69,1350509,0,0,8
1162801,26,68,1349165,0,0,8
1164145,26,68,1347822,0,0,8
1165487,26,67,1346480,0,0,8
1166828,25,67,1345140,0,0,8
1168167,25,66,1343801,0,0,8
1169506,25,66,1342463,0,0,8
1170843,25,65,1341127,0,0,8
1172178,25,65,1339792,0,0,8
1173513,25,65,1338458,0,0,8
1174846,25,64,1337125,0,0,8
1176178,25,64,1335794,0,0,8
1177508,24,63,1334464,0,0,8
1178837,24,63,1333135,0,0,8
1180165,24,63,1331808,0,0,8
1181492,24,62,1330482,0,0,8
1182817,24,62,1329157,0,0,8
1184141,24,62,1327834,0,0,8
1185464,24,61,1326512,0,0,8
1186785,23,61,1325191,0,0,8
1188105,23,61,1323871,0,0,8
1189424,23,60,1322553,0,0,8
1190741,23,60,1321236,0,0,8
1192057,23,60,1319920,0,0,8
1193372,23,59,1318606,0,0,8
1194686,23,59,1317292,0,0,8
1195998,23,59,1315981,0,0,8
1197309,23,58,1314670,0,0,8
1198619,22,58,1313361,0,0,8
1199927,22,58,1312053,0,0,8
1201234,22,57,1310746,0,0,8
1202540,22,57,1309441,0,0,8
1203844,22,57,1308137,0,0,8
1205148,22,57,1306834,0,0,8
1206450,22,56,1305532,0,0,8
1207750,22,56,1304232,0,0,8
1209050,22,56,1302933,0,0,8
1210348,22,56,1301635,0,0,8
1211645,22,55,1300339,0,0,8
1212940,22,55,1299043,0,0,8
1214234,21,55,1297749,0,0,8
1215527,21,55,1296457,0,0,8
1216819,21,54,1295165,0,0,8
1218109,21,54,1293875,0,0,8
1219398,21,54,1292586,0,0,8
1220686,21,54,1291299,0,0,8
1221973,21,53,1290013,0,0,8
1223258,21,53,1288728,0,0,8
1224542,21,53,1287444,0,0,8
1225825,21,53,1286161,0,0,8
1227107,21,53,1284880,0,0,8
1228387,21,52,1283600,0,0,8
1229666,21,52,1282321,0,0,8
1230943,21,52,1281044,0,0,8
1232220,20,52,1279768,0,0,8
1233495,20,52,1278493,0,0,8
1234769,20,51,1277219,0,0,8
1236041,20,51,1275947,0,0,8
1237313,20,51,1274676,0,0,8
1238583,20,51,1273406,0,0,8
1239852,20,51,1272137,0,0,8
1241119,20,51,1270870,0,0,8
1242386,20,50,1269604,0,0,8
1243651,20,50,1268339,0,0,8
1244915,20,50,1267075,0,0,8
1246177,20,50,1265813,0,0,8
1247438,20,50,1264552,0,0,8
1248698,20,50,1263292,0,0,8
1249957,20,50,1262033,0,0,8
1251215,20,49,1260776,0,0,8
1252471,20,49,1259520,0,0,8
1253726,20,49,1258265,0,0,8
1254980,20,49,1257011,0,0,8
1256233,20,49,1255759,0,0,8
1257484,20,49,1254508,0,0,8
1258734,20,49,1253258,0,0,8
1259983,19,49,1252009,0,0,8
1261230,19,49,1250762,0,0,8
1262477,19,48,1249516,0,0,8
1263722,19,48,1248271,0,0,8
1264966,19,48,1247027,0,0,8
1266208,19,48,1245784,0,0,8
1267450,19,48,1244543,0,0,8
1268690,19,48,1243303,0,0,8
1269929,19,48,1242064,0,0,8
1271166,19,48,1240827,0,0,8
1272403,19,48,1239591,0,0,8
1273638,19,48,1238355,0,0,8
1274872,19,47,1237122,0,0,8
1276105,19,47,1235889,0,0,8
1277336,19,47,1234657,0,0,8
1278566,19,47,1233427,0,0,8
1279795,19,47,1232198,0,0,8
1281023,19,47,1230971,0,0,8
1282250,19,47,1229744,0,0,8
1283475,19,47,1228519,0,0,8
1284699,19,47,1227295,0,0,8
1285922,19,47,1226072,0,0,8
1287144,19,47,1224850,0,0,8
1288364,19,47,1223630,0,0,8
1289584,19,47,1222411,0,0,8
1290802,19,47,1221193,0,0,8
1292019,19,47,1219976,0,0,8
1293234,19,47,1218760,0,0,8
1294449,19,46,1217546,0,0,8
1295662,19,46,1216333,0,0,8
1296874,19,46,1215121,0,0,8
1298085,19,46,1213910,0,0,8
1299294,19,46,1212701,0,0,8
1300502,19,46,1211492,0,0,8
1301710,19,46,1210285,0,0,8
1302915,19,46,1209079,0,0,8
1304120,19,46,1207874,0,0,8
1305324,19,46,1206671,0,0,8
1306526,19,46,1205469,0,0,8
1307727,19,46,1204268,0,0,8
1308927,19,46,1203068,0,0,8
1310126,19,46,1201869,0,0,8
1311323,19,46,1200672,0,0,8
1312519,19,46,1199475,0,0,8
1313715,19,46,1198280,0,0,8
1314908,19,46,1197086,0,0,8
1316101,19,46,1195893,0,0,8
1317293,19,46,1194702,0,0,8
1318483,19,46,1193512,0,0,8
1319672,19,46,1192322,0,0,8
1320860,19,46,1191134,0,0,8
1322047,19,46,1189948,0,0,8
1323232,19,46,1188762,0,0,8
1324417,19,46,1187578,0,0,8
1325600,19,46,1186395,0,0,8
1326782,19,46,1185213,0,0,8
1327962,19,46,1184032,0,0,8
1329142,19,46,1182852,0,0,8
1330320,19,47,1181674,0,0,8
1331498,19,47,1180496,0,0,8
1332674,19,47,1179320,0,0,8
1333849,19,47,1178145,0,0,8
1335022,20,47,1176971,0,0,8
